id,word,pos,ua,definitionUa,source_stage,final_disposition,category,confidence,provenance,proposal_state,proposed_target,proposed_value
SB-0846,parental,adj.,батьківський,Що стосується одного з батьків.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0847,parish,n.,парафія,"Адміністративна частина єпархії, яка має власну церкву.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0848,parliamentary,adj.,парламентський,"З, пов’язані з парламентом або ухвалені ним.",r2-reconciliation,P1,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Пов’язаний із парламентом, здійснюваний або ухвалений ним."
SB-0852,passive,adj.,пасивний,Піддаватися дії без реакції.,r2-reconciliation,P2,pos-alignment,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Такий, що не діє активно або не чинить опору."
SB-0853,pastor,n.,пастор,Хтось із духовною владою над групою людей.,r2-reconciliation,P2,pedagogical-definition,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Християнський священнослужитель, який очолює громаду або опікується нею."
SB-0854,patch,n.,латка,"Шматок тканини або іншого відповідного матеріалу, пришитий або іншим чином закріплений на одязі, щоб відремонтувати або зміцнити його, особливо на старому одязі, щоб закрити дірку.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0856,pathway,n.,шлях,Пішохідна доріжка або інший шлях чи доріжка.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0859,peak,n.,пік,"Найвище значення, досягнуте певною величиною за період часу.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0860,peasant,n.,селянин,"Член нижчого соціального класу, який працює на землі, складається з дрібних фермерів і орендарів, пайовиків, батраків та інших робітників на землі, де вони утворюють основну робочу силу в сільському господарстві та садівни...",r2-reconciliation,P1,ui-truncation,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Представник сільського населення, який обробляє землю, зазвичай дрібний землероб або орендар."
SB-0864,personnel,n.,персонал,"Група людей в організації, як-от співробітники та офісний персонал, військовослужбовці тощо.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0865,petition,n.,петиція,"Офіційний письмовий запит, зроблений окремою особою чи групою людей до суверенної чи політичної влади, який часто містить багато підписів, із проханням про якусь благодать, право, милосердя або виправлення якоїсь кривди чи...",r2-reconciliation,P1,ui-truncation,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Офіційне письмове звернення до влади з проханням про дію або зміну, часто підписане багатьма людьми."
SB-0868,physician,n.,лікар,"Лікар, який отримав підготовку в медицині.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0870,pipeline,n.,трубопровід,"Трубопровід із труб, який використовується для транспортування води, газу чи нафти тощо.",part1-floor,P2,learner-register,medium,Codex seed-20260914 blinded acceptance challenge,absent,,
SB-0871,pirate,n.,пірат,"Злочинець, який грабує на морі; зазвичай нападають на торговельні судна, хоча часто грабують портові міста.",r2-reconciliation,P1,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Злочинець, який нападає на судна або прибережні місця й грабує їх."
SB-0872,pit,n.,яма,Яма в землі.,r2-reconciliation,P2,pedagogical-definition,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,Глибоке заглиблення або отвір у землі.
SB-0873,plea,n.,прохання,"Звернення, прохання, настійна молитва чи благання.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0877,plunge,v.,зануритися,"Пірнати, стрибати або кидатися (у воду або якусь рідину); занурюватися.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0878,pole,n.,стовп,"Первісно — палиця; тепер конкретно, довгий і тонкий шматок металу або (особливо) дерева, що використовується для різних будівельних або опорних цілей.",part1-floor,P2,semantic-scope,medium,Codex seed-20260914 blinded acceptance challenge,absent,,
SB-0879,poll,n.,опитування,"Опитування людей, зазвичай зі статистичним аналізом для оцінки ширшої громадської думки.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0880,pond,n.,ставок,"Внутрішня водойма зі стоячою водою, природна чи створена людиною, менша за озеро.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0882,portfolio,n.,портфоліо,"Група інвестицій та інших активів, якими володіє інвестор.",r2-reconciliation,P2,ua-definition-sense-mismatch,medium,R2 A/B reconciliation (union-defect roster),present,ua,портфель (інвестиційний)
SB-0883,portray,v.,зображувати,"Грати роль; для зображення персонажа, людини, ситуації чи події.",r2-reconciliation,P1,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Зображувати людину, персонажа, ситуацію чи подію, зокрема грати роль у виставі або фільмі."
SB-0885,post-war,adj.,післявоєнний,Відноситься до періоду часу відразу після закінчення війни; де є припинення конфлікту.,part1-floor,P1,russianism-calque,high,Codex seed-20260914 blinded acceptance challenge,absent,,
SB-0886,practitioner,n.,практик,"Людина, яка займається професією чи мистецтвом, особливо правом чи медициною.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0887,preach,v.,проповідувати,Проголошувати публічним дискурсом; виголошувати в проповіді чи офіційній релігійній промові.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0888,precedent,n.,прецедент,"Дія в минулому, яку можна використати як приклад, щоб допомогти визначити результат подібних випадків у майбутньому.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0890,predator,n.,хижак,"Будь-яка тварина чи інший організм, який полює та вбиває інші нерослинні організми (їхню здобич), головним чином для їжі.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0892,predominantly,adv.,переважно,Переважним чином. Найчастіше або часто з великим відривом.,r2-reconciliation,P2,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,Головним чином; здебільшого або у значно більшій мірі.
SB-0894,prejudice,n.,упередження,"Негативне судження чи думка, сформовані заздалегідь або без знання фактів.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0895,preliminary,adj.,попередній,"При підготовці до основної справи; початковий, вступний, підготовчий.",r2-reconciliation,P2,pos-alignment,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Початковий або підготовчий; такий, що передує основній дії."
SB-0896,premier,n.,прем'єр,Глава уряду в парламенті та лідер кабінету.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0899,prescribe,v.,призначати,Замовити (лікарський засіб або медичний пристрій) для використання конкретним пацієнтом (за ліцензією).,part1-floor,P1,semantic-pedagogical,high,Codex seed-20260914 blinded acceptance challenge,absent,,
SB-0900,prescription,n.,рецепт,"Письмове розпорядження від уповноваженого практикуючого лікаря про надання ліків або інше лікування, наприклад (офтальмологічне) спеціальні лінзи, необхідні для пари окулярів.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0903,preside,v.,головувати,Діяти як президент або голова.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0904,presidency,n.,президентство,Посада або роль президента.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0905,presidential,adj.,президентський,Що стосується президента чи президентства.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0906,prestigious,adj.,престижний,Високого престижу.,r2-reconciliation,P2,pedagogical-definition,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Такий, що має високий статус і викликає повагу."
SB-0907,presumably,adv.,мабуть,Здатний бути розумно припущеним.,part1-floor,P1,pos-morphology,high,Codex seed-20260914 blinded acceptance challenge,absent,,
SB-0910,prevalence,n.,поширеність,Якість або умова переважання; широке розширення або поширення.,r2-reconciliation,P2,pedagogical-definition,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,Ступінь поширення явища або частота його наявності в певній групі.
SB-0911,prevention,n.,профілактика,"Будь-які заходи, спрямовані на обмеження ризиків для здоров’я (такі як інформаційні кампанії, вакцинація, рання діагностика тощо).",r2-reconciliation,P1,sense-coverage,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Дії або заходи, спрямовані на те, щоб не допустити небажаної події чи зменшити її ризик."
SB-0912,prey,n.,здобич,"Жива істота, зазвичай тварина, яку їсть інша жива істота.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0914,privatization,n.,приватизація,Передача компанії або організації з державної власності та контролю в приватну.,r2-reconciliation,P1,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,Передача підприємства або організації з державної власності й контролю у приватну власність.
SB-0915,privilege,n.,привілей,"Конкретна користь, перевага або послуга; право чи імунітет, яким користуються одні, але не інші; прерогатива, пільговий режим.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0917,problematic,adj.,проблематичний,Постановка проблеми; мати або страждати від проблеми(-й):,r2-reconciliation,P1,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Такий, що створює проблему, викликає труднощі або потребує обережного розгляду."
SB-0919,proceeds,n.,доходи,Дохід; валовий дохід.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0920,processing,n.,обробка,"Дія пошуку, зберігання, класифікації, обробки, передачі тощо даних, особливо за допомогою комп’ютерних технологій.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0921,processor,n.,процесор,"Пристрій, який обробляє, змінює щось (комп’ютерний процесор, кухонний комбайн тощо).",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0924,productivity,n.,продуктивність,"Стан продуктивності, плідності або ефективності.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0925,profitable,adj.,прибутковий,Отримання прибутку.,r2-reconciliation,P2,pos-alignment,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Такий, що приносить прибуток."
SB-0928,prominent,adj.,видатний,"Ймовірно, приверне увагу своїм розміром або розташуванням; помітний.",part1-floor,P2,pos-style,medium,Codex seed-20260914 blinded acceptance challenge,absent,,
SB-0930,propaganda,n.,пропаганда,"Агітація, реклама, публічна комунікація, спрямована на вплив на аудиторію та просування порядку денного.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0936,prosperity,n.,процвітання,Умова процвітання: наявність удачі та багатства.,r2-reconciliation,P2,idiomatic-ukrainian,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Стан успішного розвитку, добробуту й достатку."
SB-0937,protective,adj.,захисний,Служить або призначений для захисту.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0938,protocol,n.,протокол,"Набір формальних правил, що описують, як передавати або обмінюватися даними, особливо через мережу.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0939,province,n.,провінція,"Адміністративний підрозділ деяких країн, зокрема Канади та Китаю.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0943,psychiatric,adj.,психіатричний,Психіатрія або пов'язана з нею.,r2-reconciliation,P1,pos-alignment,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,Пов’язаний із психіатрією або лікуванням психічних розладів.
SB-0944,pulse,n.,пульс,"Зазвичай регулярне серцебиття відчувається, коли артерії поблизу шкіри (наприклад, на шиї чи зап’ясті) стиснуті, спричинене серцем, що прокачує через них кров.",r2-reconciliation,P1,semantic-fidelity,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Ритмічне розширення артерій, спричинене серцебиттям і відчутне, наприклад, на зап’ясті чи шиї."
SB-0949,quota,n.,квота,"Зазначене число або відсоток, який може служити, наприклад, максимумом, мінімумом або ціллю.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0952,rage,n.,лють,Сильний неконтрольований гнів.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0955,ranking,n.,рейтинг,Відносне розміщення в списку.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0956,rape,"n., v.",зґвалтування,Примушувати (когось) до статевого акту чи інших сексуальних дій без його згоди.,r2-reconciliation,P1,pos-alignment,high,R2 A/B reconciliation (union-defect roster),present,both,ua: зґвалтування; ґвалтувати | definitionUa: Статевий акт або інша сексуальна дія без згоди; також примушувати когось до такої дії.
SB-0957,ratio,n.,співвідношення,"Число, що представляє порівняння між двома названими речами.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0959,ray,n.,промінь,Промінь світла або випромінювання.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0963,rear,"adj., n.",задній,"Задня або крайня задня частина; те, що позаду, або останнє за порядком.",r2-reconciliation,P1,pos-alignment,high,R2 A/B reconciliation (union-defect roster),present,both,ua: задній; задня частина | definitionUa: Розташований позаду; також задня частина чогось.
SB-0965,reassure,v.,заспокоювати,Запевнити заново; відновити довіру до; звільнитися від страху чи невпевненості в собі.,r2-reconciliation,P1,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Заспокоювати когось, відновлюючи його впевненість або усуваючи страх чи сумнів."
SB-0966,rebel,n.,повстанець,"Людина, яка чинить опір встановленій владі, часто насильницький.",r2-reconciliation,P1,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Людина, яка чинить опір установленій владі, часто із застосуванням сили."
SB-0967,rebellion,n.,повстання,Збройний опір встановленому уряду чи правителю.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0968,recipient,n.,одержувач,"Той, хто отримує.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0969,reconstruction,n.,реконструкція,"Дія реконструкції чогось, не обов’язково до попереднього стану.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0970,recount1,v.,докладно розповідати; переказувати,Докладно розповідати про подію або послідовність подій.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0971,referendum,n.,референдум,Пряме всенародне голосування щодо запропонованого закону чи конституційної поправки.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0972,reflection,n.,відображення,Акт відображення або стан відображення.,r2-reconciliation,P2,pedagogical-definition,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Зображення, утворене світлом, що відбилося від поверхні; також сам процес відбиття."
SB-0974,refuge,n.,притулок,"Місце, що забезпечує безпеку, захист або притулок.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0975,refusal,n.,відмова,Акт відмови.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0977,regardless,adv.,незалежно,Не звертаючи уваги на; ігнорування.,r2-reconciliation,P1,pos-alignment,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,Не беручи до уваги певну обставину; попри неї.
SB-0979,regulator,n.,регулятор,"Пристрій, який контролює або обмежує щось.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0980,regulatory,adj.,регулятивний,Регулювання чи відношення до нього.,r2-reconciliation,P1,calque-russianism,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,Пов’язаний із регулюванням або призначений для нього.
SB-0981,rehabilitation,n.,реабілітація,Процес реабілітації когось або чогось.,r2-reconciliation,P2,pedagogical-definition,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Процес відновлення здоров’я, здібностей, репутації або належного стану."
SB-0983,rejection,n.,відмова,Акт відхилення.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0984,relevance,n.,релевантність,Властивість або стан релевантності чи доречності.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0987,remainder,n.,залишок,"Частина або частини, що залишилися після того, як деякі були видалені або вже виникли.",r2-reconciliation,P1,semantic-fidelity,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Частина, що залишається після того, як решту використали, видалили або врахували."
SB-0990,reminder,n.,нагадування,"Хтось або щось, що нагадує.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0993,renew,v.,відновити,Знову робити (щось) нове; для відновлення свіжості або початкового стану.,r2-reconciliation,P1,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Відновлювати свіжість, чинність або початковий стан; робити новим знову."
SB-0995,rental,n.,оренда,Плата за оренду чогось.,r2-reconciliation,P1,ua-definition-consistency,high,R2 A/B reconciliation (union-defect roster),present,both,ua: оренда; орендна плата | definitionUa: Користування майном за плату; також плата за таке користування.
SB-0996,replacement,n.,заміна,"Особа або предмет, що займає місце іншого; замінник.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-0999,reproduce,v.,відтворювати,Для створення або розмноження потомства або організмів статевим або нестатевим шляхом.,r2-reconciliation,P1,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,Створювати копію або повторювати щось; також давати потомство.
SB-1000,reproduction,n.,відтворення,Акт біологічного відтворення нових особин.,part1-floor,P2,semantic-scope,medium,Codex seed-20260914 blinded acceptance challenge,absent,,
SB-1001,republic,n.,республіка,"Держава, де суверенітет належить народу або його представникам, а не монарху чи імператору; країна без монархії.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-1003,reside,v.,проживати,Проживати постійно або на тривалий час; мати постійне місце проживання на час; залишатися надовго.,part1-floor,P1,grammar-semantic,high,Codex seed-20260914 blinded acceptance challenge,absent,,
SB-1006,residue,n.,залишок,"Те, що зберігається або залишається після видалення або усунення інших елементів.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-1009,respective,adj.,відповідний,"Що стосується конкретних осіб або речей, кожен до кожного; особливий; власні.",r2-reconciliation,P1,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Такий, що окремо стосується кожної з названих осіб або речей."
SB-1010,respectively,adv.,відповідно,"У відносний спосіб; часто використовується під час порівняння списків масивів, де цей термін означає, що елементи в списках відповідають один одному в тому порядку, в якому вони вказані.",r2-reconciliation,P1,semantic-fidelity,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,У тому самому порядку для кожного з уже названих елементів.
SB-1015,retrieve,v.,отримати,Отримати чи дістати щось назад; повернути собі.,part1-floor,P1,semantic-pedagogical-error,high,R1-listed defect; severity normalized to P1 by Codex acceptance review,present,ua,повернути; дістати назад
SB-1016,revelation,n.,одкровення,Акт виявлення або розголошення.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-1018,reverse,v.,змінювати на протилежне; рухатися назад,"Змінювати напрям, порядок або результат на протилежний; також рухатися назад.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-1020,revive,v.,оживити,"(фігуративно) Змусити (щось) вийти зі стану занепаду, занедбаності, забуття чи невідомості; знову зробити (щось) активним або жвавим; реанімувати, оживляти.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-1022,rhetoric,n.,риторика,"Мистецтво використання мови, особливо публічних виступів, як засобу переконання.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-1024,riot,n.,бунт,"Бурхливе порушення громадського порядку великою групою людей, що часто супроводжується насильством або пошкодженням майна.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-1025,rip,v.,рвати; розривати,"Розділяти або відокремлювати частини (особливо чогось тендітного, наприклад, паперу чи тканини), розрізаючи чи розриваючи; гвалтом відірвати або вирвати.",r2-reconciliation,P2,learner-register,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,Розривати матеріал або силоміць відривати одну частину від іншої.
SB-1026,ritual,n.,ритуал,"обряд; повторюваний набір дій, особливо в релігійному контексті.",r2-reconciliation,P2,ui-formatting,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Обряд або повторюваний набір дій, особливо в релігійному контексті."
SB-1031,rotation,n.,обертання,Акт повороту навколо центру або осі.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-1033,rumour,n.,чутка,"Неперевірена інформація, яка поширюється між людьми.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-1037,saint,n.,святий,"Померла особа, яку церква чи інша релігійна група офіційно визнала особливо святою чи благочестивою; один видатний для благочестя та чесноти.",r2-reconciliation,P1,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Особа, яку релігійна спільнота вважає особливо святою або зразково благочестивою."
SB-1041,scattered,adj.,розкиданий,"Розпорошені, розбиті на роз'єднані одиниці.",r2-reconciliation,P1,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,Розміщений у різних місцях і не зосереджений разом.
SB-1042,sceptical,adj.,скептичний,Схильний сумніватися в правдивості або обґрунтованості твердження.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-1045,scrutiny,n.,перевірка,Інтенсивне вивчення когось або чогось.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-1047,secular,adj.,світський,"Не особливо релігійний; світський або цивільний, на відміну від духовного.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-1048,seemingly,adv.,здавалося б,Як з'являється; мабуть.,part1-floor,P1,grammar-calque,high,Codex seed-20260914 blinded acceptance challenge,absent,,
SB-1049,segment,n.,сегмент,"Одна з частин, на яку природно поділяється або ділиться будь-яке тіло; розділена або відрізана частина; розділ; порція.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-1051,seldom,adv.,рідко,"Нечасто, рідко.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-1057,separation,n.,розділення,Акт роз'єднання двох або більше речей або умова роз'єднання.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-1058,serial,adj.,серійний,Маючи відношення до або розташовані в ряд.,r2-reconciliation,P1,calque-russianism,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Розташований або такий, що відбувається послідовно, один за одним."
SB-1060,set-up,n.,установка,"Спосіб організації або комплект обладнання, підготовлений для певної мети.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-1062,shareholder,n.,акціонер,"Той, хто володіє акціями корпорації.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-1063,shatter,v.,розбити,Сильно розбивати що-небудь на частини.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-1065,sheer,adj.,чистий,прямо; повний; чистий.,r2-reconciliation,P1,pos-alignment,high,R2 A/B reconciliation (union-defect roster),present,both,ua: цілковитий; прямовисний; прозорий | definitionUa: Повний або абсолютний; також дуже крутий чи тонкий і прозорий.
SB-1066,shipping,n.,доставка,Перевезення вантажів.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-1068,shrink,v.,скорочуватися,Стати меншим; контрактувати.,r2-reconciliation,P1,calque-russianism,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Ставати меншим за розміром, обсягом або кількістю; стискатися."
SB-1069,shrug,v.,знизати плечима,"Підняти (плечі), щоб висловити невпевненість, відсутність занепокоєння, (раніше) страх тощо.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-1072,simulation,n.,моделювання,"Щось, що імітує систему чи середовище, щоб передбачити реальну поведінку.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-1073,simultaneously,adv.,одночасно,Відбувається одночасно.,r2-reconciliation,P2,pos-alignment,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,В один і той самий час; одночасно.
SB-1074,sin,n.,гріх,Порушення божественної волі або релігійного закону.,consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-1075,situated,adj.,розташований,Знаходиться в конкретному місці.,r2-reconciliation,P2,calque-russianism,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,Розташований у певному місці або становищі.
SB-1076,sketch,n.,ескіз,"Швидко виконаний малюнок від руки, який не передбачається як закінчена робота, часто складається з безлічі ліній, що накладаються один на одного.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-1078,slam,v.,грюкнути,"Закрити з раптовою силою, щоб створити удар і шум.",consensus-clean,consensus-clean-candidate,,,R2 Pass A/B consensus clean; awaits fresh acceptance sample,n/a,,
SB-1081,slavery,n.,рабство,"Інститут або соціальна практика володіння людьми як власністю, особливо для використання в якості примусової праці.",part1-floor,P1,other,low,R1-listed defect; severity normalized to P1 by Codex acceptance review,present,definitionUa,"Інститут або соціальна практика, за якої одні люди володіють іншими як власністю та примусово використовують їхню працю."
SB-1082,slot,n.,слот,"Вузька западина, перфорація або отвір; особливо, один для прийому шматка, що підходить або ковзає в нього.",r2-reconciliation,P1,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),present,definitionUa,"Вузький отвір або паз, у який вставляють предмет; також визначене місце чи час."
