id,stage,source_stage,proposal_source,word,pos,category,confidence,provenance,finding_evidence,proposal_rationale,current_ua,current_definitionUa,source_proposed_target,source_proposed_value,proposed_ua,proposed_definitionUa,proposal_fields,effective_fields,current_pair_sha256,finding_rationale,finding_confidence,proposal_evidence_quote
SB-0914,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK2.csv,privatization,n.,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),в приватну,,приватизація,Передача компанії або організації з державної власності та контролю в приватну.,definitionUa,Передача підприємства або організації з державної власності й контролю у приватну власність.,,Передача підприємства або організації з державної власності й контролю у приватну власність.,definitionUa,definitionUa,6af6e5dec7ac108d563ef63fba2a3c16f776195215c0ef06d8d9e02bc16db94c,the phrase ends at «в приватну» without the required noun «власність» — broken syntax confirmed.,high,
SB-0917,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK1.csv,problematic,adj.,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),проблеми(-й):,,проблематичний,Постановка проблеми; мати або страждати від проблеми(-й):,definitionUa,"Такий, що створює проблему, викликає труднощі або потребує обережного розгляду.",,"Такий, що створює проблему, викликає труднощі або потребує обережного розгляду.",definitionUa,definitionUa,0f21e2f796ea25e61c0dc201330479e4006dd2ec1ce3c08263ba05ac42c707eb,"the definition is malformed and ends on a dangling colon «проблеми(-й):» — broken learner-facing syntax, confirmed.",high,
SB-0943,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK2.csv,psychiatric,adj.,pos-alignment,high,R2 A/B reconciliation (union-defect roster),Психіатрія або,,психіатричний,Психіатрія або пов'язана з нею.,definitionUa,Пов’язаний із психіатрією або лікуванням психічних розладів.,,Пов’язаний із психіатрією або лікуванням психічних розладів.,definitionUa,definitionUa,36a117f623cb7bb24aa54fd07f911937a984dcaf597ca7600f29cb4ef77636f2,the noun «Психіатрія» followed by feminine «пов’язана» does not define the adjective psychiatric — confirmed.,high,
SB-0944,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK2.csv,pulse,n.,semantic-fidelity,high,R2 A/B reconciliation (union-defect roster),артерії поблизу шкіри,,пульс,"Зазвичай регулярне серцебиття відчувається, коли артерії поблизу шкіри (наприклад, на шиї чи зап’ясті) стиснуті, спричинене серцем, що прокачує через них кров.",definitionUa,"Ритмічне розширення артерій, спричинене серцебиттям і відчутне, наприклад, на зап’ясті чи шиї.",,"Ритмічне розширення артерій, спричинене серцебиттям і відчутне, наприклад, на зап’ясті чи шиї.",definitionUa,definitionUa,a2356d5ee8a4e5259639c0ca4381a9ed78e3d6e192abe8e750b31e295e360d14,the definition confuses pulse with heartbeat and says arteries are compressed rather than palpated — semantic defect confirmed.,high,
SB-0956,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK2.csv,rape,"n., v.",pos-alignment,high,R2 A/B reconciliation (union-defect roster),Примушувати,,зґвалтування,Примушувати (когось) до статевого акту чи інших сексуальних дій без його згоди.,both,ua: зґвалтування; ґвалтувати | definitionUa: Статевий акт або інша сексуальна дія без згоди; також примушувати когось до такої дії.,зґвалтування; ґвалтувати,Статевий акт або інша сексуальна дія без згоди; також примушувати когось до такої дії.,ua|definitionUa,ua|definitionUa,68e7d3f1e1c107c32e7efb6cca8e8077f6f0d46be249c13a7e56bb166ce51d15,"rape is n.,v. but ua «зґвалтування» is noun-only while the definition «Примушувати…» is verb-only — coverage defect confirmed.",high,
SB-0963,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK2.csv,rear,"adj., n.",pos-alignment,high,R2 A/B reconciliation (union-defect roster),Задня або крайня задня частина,,задній,"Задня або крайня задня частина; те, що позаду, або останнє за порядком.",both,ua: задній; задня частина | definitionUa: Розташований позаду; також задня частина чогось.,задній; задня частина,Розташований позаду; також задня частина чогось.,ua|definitionUa,ua|definitionUa,9f89991f93e34993975f1fb07843c46628c9b10364052c6af197a689db40d157,"rear is adj.,n. but ua «задній» is adjective-only while the definition is noun-only — coverage defect confirmed.",high,
SB-0965,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK2.csv,reassure,v.,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),Запевнити заново,,заспокоювати,Запевнити заново; відновити довіру до; звільнитися від страху чи невпевненості в собі.,definitionUa,"Заспокоювати когось, відновлюючи його впевненість або усуваючи страх чи сумнів.",,"Заспокоювати когось, відновлюючи його впевненість або усуваючи страх чи сумнів.",definitionUa,definitionUa,c2719892760b4db4757db9fa8af13d17fa7ceb6fd400e0a44feb7fe43f37982b,«Запевнити заново» is a literal calque and «звільнитися» changes the subject of the transitive verb — confirmed.,high,
SB-0966,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK3.csv,rebel,n.,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),часто насильницький,,повстанець,"Людина, яка чинить опір встановленій владі, часто насильницький.",definitionUa,"Людина, яка чинить опір установленій владі, часто із застосуванням сили.",,"Людина, яка чинить опір установленій владі, часто із застосуванням сили.",definitionUa,definitionUa,e0f87b4619c62a425a9ee660f871bf8bc07935b84fa64e78206f560b99c6d47b,masculine «насильницький» dangles after «часто» and does not modify the intended noun — confirmed.,high,
SB-0977,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK2.csv,regardless,adv.,pos-alignment,high,R2 A/B reconciliation (union-defect roster),Не звертаючи уваги на; ігнорування,,незалежно,Не звертаючи уваги на; ігнорування.,definitionUa,Не беручи до уваги певну обставину; попри неї.,,Не беручи до уваги певну обставину; попри неї.,definitionUa,definitionUa,7eda07b929fa7ca57d648e8449559011dc46f3020a32b2bb98339991661ab826,«Не звертаючи уваги на; ігнорування» mixes an incomplete participial phrase with a noun and does not define the adverb — confirmed.,high,
SB-0980,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK3.csv,regulatory,adj.,calque-russianism,high,R2 A/B reconciliation (union-defect roster),Регулювання чи відношення до нього,,регулятивний,Регулювання чи відношення до нього.,definitionUa,Пов’язаний із регулюванням або призначений для нього.,,Пов’язаний із регулюванням або призначений для нього.,definitionUa,definitionUa,09d94cd567fd9c222ad808389907fa44b5890d29dc1d5142ea6441516c19fd10,the noun phrase contains the Russian-influenced «відношення до» and does not define the adjective regulatory — confirmed.,high,
SB-0987,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK2.csv,remainder,n.,semantic-fidelity,high,R2 A/B reconciliation (union-defect roster),вже виникли,,залишок,"Частина або частини, що залишилися після того, як деякі були видалені або вже виникли.",definitionUa,"Частина, що залишається після того, як решту використали, видалили або врахували.",,"Частина, що залишається після того, як решту використали, видалили або врахували.",definitionUa,definitionUa,729d2e6dc19193b85ef250d88e79dfa0b677ce6df61db6b1e0990a73ad436f34,"«вже виникли» does not express items already used, taken or accounted for — semantic defect confirmed.",high,
SB-0993,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK3.csv,renew,v.,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),для відновлення свіжості,,відновити,Знову робити (щось) нове; для відновлення свіжості або початкового стану.,definitionUa,"Відновлювати свіжість, чинність або початковий стан; робити новим знову.",,"Відновлювати свіжість, чинність або початковий стан; робити новим знову.",definitionUa,definitionUa,2006918c721f543efde0d1aa4307a713b0b882cf0b917506cc2529d9881f3efa,the second clause begins with the purpose phrase «для відновлення» instead of continuing the verb definition of renew — confirmed.,high,
SB-0995,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK3.csv,rental,n.,ua-definition-consistency,high,R2 A/B reconciliation (union-defect roster),Плата за оренду чогось,,оренда,Плата за оренду чогось.,both,ua: оренда; орендна плата | definitionUa: Користування майном за плату; також плата за таке користування.,оренда; орендна плата,Користування майном за плату; також плата за таке користування.,ua|definitionUa,ua|definitionUa,4938ad9b0ed59082d22f2e4cabf06c407d9bacebed84c5df5cc64f452f0a9329,"ua «оренда» denotes renting, while the definition covers only the fee paid — ua↔definition inconsistency confirmed.",high,
SB-0999,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK2.csv,reproduce,v.,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),Для створення або розмноження,,відтворювати,Для створення або розмноження потомства або організмів статевим або нестатевим шляхом.,definitionUa,Створювати копію або повторювати щось; також давати потомство.,,Створювати копію або повторювати щось; також давати потомство.,definitionUa,definitionUa,e2b5988d74621780deb77ac12f5d6ecc4c3b62fd77449a19da477b31917b28dc,the purpose phrase «Для створення» does not define the verb and the entry covers only biological reproduction — confirmed.,high,
SB-1003,A,part1-floor,docs/G4A_R2_SUPPLEMENTAL_PROPOSALS.csv,reside,v.,grammar-semantic,high,Codex seed-20260914 blinded acceptance challenge,'мати постійне місце проживання на час' is internally contradictory and not idiomatic Ukrainian.,Narrow-token case: 'постійне ... на час' is self-contradictory ('permanent' vs 'for a time'). Removed only the contradictory 'на час' qualifier; the surrounding three-clause structure and the other two clauses are preserved exactly.,проживати,Проживати постійно або на тривалий час; мати постійне місце проживання на час; залишатися надовго.,,,,Проживати постійно або на тривалий час; мати постійне місце проживання; залишатися надовго.,definitionUa,definitionUa,faabbd4644154d1f93edc6f00e26b13e2a75d3f08fbf18b586e1ca66a0d72326,,high,мати постійне місце проживання на час
SB-1009,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK2.csv,respective,adj.,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),кожен до кожного,,відповідний,"Що стосується конкретних осіб або речей, кожен до кожного; особливий; власні.",definitionUa,"Такий, що окремо стосується кожної з названих осіб або речей.",,"Такий, що окремо стосується кожної з названих осіб або речей.",definitionUa,definitionUa,08ae5fc9e27e8c0e391092789c67d0b34ed35b890f990a8a9f041fe469a7c006,«кожен до кожного; особливий; власні» has broken agreement and does not explain respective — confirmed.,high,
SB-1010,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK2.csv,respectively,adv.,semantic-fidelity,high,R2 A/B reconciliation (union-defect roster),У відносний спосіб,,відповідно,"У відносний спосіб; часто використовується під час порівняння списків масивів, де цей термін означає, що елементи в списках відповідають один одному в тому порядку, в якому вони вказані.",definitionUa,У тому самому порядку для кожного з уже названих елементів.,,У тому самому порядку для кожного з уже названих елементів.,definitionUa,definitionUa,f7e232a0651e3e8e1f6cf7dca694423c992e2c4d7fc46986ca0002a1fa8e7f31,«У відносний спосіб» is a false literal rendering and the arrays explanation is needlessly technical — confirmed.,high,
SB-1015,A,part1-floor,docs/G4A_RESIDUAL_AUDIT_R2_INTAKE.csv,retrieve,v.,semantic-pedagogical-error,high,R1-listed defect; severity normalized to P1 by Codex acceptance review,learner-facing ua 'отримати' is too generic and omits the essential back/recover direction that definitionUa supplies; ua conflicts with definitionUa.,,отримати,Отримати чи дістати щось назад; повернути собі.,ua,повернути; дістати назад,повернути; дістати назад,,ua,ua,5c49c46a38ca1f6cd2b6ddd4750408ba6114ec2feab2971816e126c60c8c226a,,high,
SB-1037,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK3.csv,saint,n.,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),один видатний для благочестя,,святий,"Померла особа, яку церква чи інша релігійна група офіційно визнала особливо святою чи благочестивою; один видатний для благочестя та чесноти.",definitionUa,"Особа, яку релігійна спільнота вважає особливо святою або зразково благочестивою.",,"Особа, яку релігійна спільнота вважає особливо святою або зразково благочестивою.",definitionUa,definitionUa,c7b3675bb6e5affe9617b98bbaf74b9d2e5605ba00667c7f0d76da782e115289,«один видатний для благочестя» is an unintelligible literal calque — confirmed.,high,
SB-1041,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK3.csv,scattered,adj.,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),"Розпорошені, розбиті на роз'єднані одиниці",,розкиданий,"Розпорошені, розбиті на роз'єднані одиниці.",definitionUa,Розміщений у різних місцях і не зосереджений разом.,,Розміщений у різних місцях і не зосереджений разом.,definitionUa,definitionUa,d89ddeccb8a084094133fe016fbb1c213bbe443ddd50ca5eb31309034fe045ed,"plural «Розпорошені, розбиті» does not agree with the singular adjective розкиданий — confirmed.",high,
SB-1048,A,part1-floor,docs/G4A_R2_SUPPLEMENTAL_PROPOSALS.csv,seemingly,adv.,grammar-calque,high,Codex seed-20260914 blinded acceptance challenge,'Як з'являється' is a false calque of 'as it appears'; Ukrainian requires 'як видається/на перший погляд'.,"Narrow-token case: 'з'являтися' means 'to physically appear/show up', a false-friend calque of the sense needed here. Replaced with 'як видається', the idiomatic Ukrainian equivalent of 'as it seems'. Trailing '; мабуть.' left untouched.",здавалося б,Як з'являється; мабуть.,,,,Як видається; мабуть.,definitionUa,definitionUa,58f3ad148a86194902e11066f018e00d62d8232ee63def8d1f888e5adc94f626,,high,Як з'являється
SB-1058,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK1.csv,serial,adj.,calque-russianism,high,R2 A/B reconciliation (union-defect roster),Маючи відношення,,серійний,Маючи відношення до або розташовані в ряд.,definitionUa,"Розташований або такий, що відбувається послідовно, один за одним.",,"Розташований або такий, що відбувається послідовно, один за одним.",definitionUa,definitionUa,311d5886fdc894af6e7262ee8ec5a2d05c0149d04d9b690023e7041cc382ff4c,«Маючи відношення» is Russian-influenced and «розташовані» disagrees with the adjective — confirmed.,high,
SB-1065,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK1.csv,sheer,adj.,pos-alignment,high,R2 A/B reconciliation (union-defect roster),прямо; повний; чистий,,чистий,прямо; повний; чистий.,both,ua: цілковитий; прямовисний; прозорий | definitionUa: Повний або абсолютний; також дуже крутий чи тонкий і прозорий.,цілковитий; прямовисний; прозорий,Повний або абсолютний; також дуже крутий чи тонкий і прозорий.,ua|definitionUa,ua|definitionUa,954115349c3c7d98ab55b3250c08f8f06174b9694385490ec6852b734259f696,«прямо; повний; чистий» mixes adverb/adjective forms and the gloss «чистий» misses sheer's core 'utter/complete' and 'steep' senses — confirmed.,high,
SB-1068,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK2.csv,shrink,v.,calque-russianism,high,R2 A/B reconciliation (union-defect roster),контрактувати,,скорочуватися,Стати меншим; контрактувати.,definitionUa,"Ставати меншим за розміром, обсягом або кількістю; стискатися.",,"Ставати меншим за розміром, обсягом або кількістю; стискатися.",definitionUa,definitionUa,06e6f6cc14a0098c0fefeb35e40bb6fba558b87d3b9ba851d76e3aabead88920,«контрактувати» is a nonstandard calque of 'contract' meaning become smaller — confirmed.,high,
SB-1081,A,part1-floor,docs/G4A_RESIDUAL_AUDIT_R2_INTAKE.csv,slavery,n.,other,low,R1-listed defect; severity normalized to P1 by Codex acceptance review,definitionUa uses the mild russianism/calque 'в якості примусової праці' (в качестве -> в якості); idiomatic Ukrainian prefers 'як примусову працю'/'у ролі'. Corroborated by the CP2 mechanical calque detector.,,рабство,"Інститут або соціальна практика володіння людьми як власністю, особливо для використання в якості примусової праці.",definitionUa,"Інститут або соціальна практика, за якої одні люди володіють іншими як власністю та примусово використовують їхню працю.",,"Інститут або соціальна практика, за якої одні люди володіють іншими як власністю та примусово використовують їхню працю.",definitionUa,definitionUa,6b24bbb8f92375fac02acebdd7df8c8f3358d133e2d6c594df1f47a5b585c3eb,,low,
SB-1082,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK3.csv,slot,n.,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),один для прийому шматка,,слот,"Вузька западина, перфорація або отвір; особливо, один для прийому шматка, що підходить або ковзає в нього.",definitionUa,"Вузький отвір або паз, у який вставляють предмет; також визначене місце чи час.",,"Вузький отвір або паз, у який вставляють предмет; також визначене місце чи час.",definitionUa,definitionUa,92b6723b77ee4ad03463c9dd0cc595f8342a9ae2ad737c3d91e82cbe44326d07,"«особливо, один для прийому шматка» has invalid pronoun reference and unusable syntax — confirmed.",high,
SB-1085,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK1.csv,soak,v.,voice-alignment,high,R2 A/B reconciliation (union-defect roster),Насичуватися рідиною,,замочити,Насичуватися рідиною шляхом занурення в неї.,both,"ua: замочувати; просочуватися | definitionUa: Занурювати в рідину, щоб добре намочити; також насичуватися рідиною.",замочувати; просочуватися,"Занурювати в рідину, щоб добре намочити; також насичуватися рідиною.",ua|definitionUa,ua|definitionUa,04de6e79b06f124fd403d95c62a16c16bf3108152c862fa4e7a9556d11857ed6,ua «замочити» is transitive/perfective but the definition «Насичуватися рідиною» is reflexive/intransitive — the voice mismatch is confirmed.,high,
SB-1087,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK1.csv,socialist,adj.,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),"Відносно, підтримка чи пропаганда",,соціалістичний,"Відносно, підтримка чи пропаганда соціалізму.",definitionUa,"Пов’язаний із соціалізмом або такий, що підтримує його.",,"Пов’язаний із соціалізмом або такий, що підтримує його.",definitionUa,definitionUa,0bf0a99ee980fe61358fd8ac6d40c6642fc62d192125f26c3ff92eca7da0f04e,"«Відносно, підтримка чи пропаганда соціалізму» is malformed with mismatched noun forms — confirmed.",high,
SB-1092,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK1.csv,solo,"adj., n.",pos-alignment,high,R2 A/B reconciliation (union-defect roster),виконане однією особою,,соло,"Робота або виконання, виконане однією особою.",both,ua: соло; сольний | definitionUa: Виконання однією особою; також призначений для одного виконавця.,соло; сольний,Виконання однією особою; також призначений для одного виконавця.,ua|definitionUa,ua|definitionUa,b8853ebb85a9063cd7612f095cc24675a94a2d8f99748675fbd579f42e9ca2b2,"solo is adj.,n. but ua «соло» and the definition cover only the noun — the coverage defect is confirmed.",high,
SB-1094,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK3.csv,sovereignty,n.,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),стан здатний контролювати,,суверенітет,"Нації чи іншого державного устрою: стан здатний контролювати ресурси, самостійно приймати закони та іншим чином керувати собою без примусу чи згоди інших держав.",definitionUa,"Право й здатність держави самостійно керувати собою, ухвалювати закони та контролювати свої ресурси.",,"Право й здатність держави самостійно керувати собою, ухвалювати закони та контролювати свої ресурси.",definitionUa,definitionUa,2cdae2a259633664bb8afd73856248ea309cdaf828dfa01733faa3696e2fb734,«стан здатний контролювати» is ungrammatical; sovereignty is the right or ability to self-govern — confirmed.,high,
SB-1096,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK2.csv,span,"v., n.",pos-alignment,high,R2 A/B reconciliation (union-defect roster),Протягнути через відстань,,охоплювати; тривати,Протягнути через відстань між або впоперек.,both,ua: охоплювати; проміжок | definitionUa: Простягатися через відстань або тривати певний час; також сама відстань чи тривалість.,охоплювати; проміжок,Простягатися через відстань або тривати певний час; також сама відстань чи тривалість.,ua|definitionUa,ua|definitionUa,3ff17a2a60affdfd107bc78297ba742ac805596718f5a10771abd2689b000dad,"span is v.,n. but ua and the definition provide only verb senses — coverage defect confirmed.",high,
SB-1099,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK2.csv,specialized,adj.,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),адаптована до неї,,спеціалізований,Має високу кваліфікацію в конкретній галузі або спеціально адаптована до неї.,definitionUa,"Такий, що має вузьку спеціалізацію або спеціально пристосований до певної галузі.",,"Такий, що має вузьку спеціалізацію або спеціально пристосований до певної галузі.",definitionUa,definitionUa,775dc7ae7101de7781cb4b2d942dce36585b8a0b906d4f30fd985648eaa65df8,masculine «Має» and feminine «адаптована» lack an agreeing subject — confirmed.,high,
SB-1100,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK3.csv,specification,n.,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),має задовольняти матеріал,,специфікація,"Чіткий набір вимог, яким має задовольняти матеріал, продукт або послуга.",definitionUa,"Чіткий набір вимог, яким має відповідати матеріал, продукт або послуга.",,"Чіткий набір вимог, яким має відповідати матеріал, продукт або послуга.",definitionUa,definitionUa,045540c225d72696524d0ef28e8a963dcb0682fd034c3da1d78e8445d03633bd,a material or product cannot «задовольняти вимогам»; Ukrainian requires «відповідати вимогам» — grammar defect confirmed.,high,
SB-1108,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK3.csv,spotlight,n.,sense-coverage,high,R2 A/B reconciliation (union-defect roster),головна або найважливіша частина,,центр уваги; прожектор,Центр уваги; головна або найважливіша частина.,definitionUa,Спрямований яскравий прожектор; також зосереджена суспільна увага.,,Спрямований яскравий прожектор; також зосереджена суспільна увага.,definitionUa,definitionUa,2a0252617908914b59a6f46202d6bc8340e77845e67cab9d17c66dafb6f26e5a,"ua includes the physical prожектор, but the definition covers only the figurative center of attention — sense-coverage confirmed.",high,
SB-1111,A,part1-floor,docs/G4A_R2_SUPPLEMENTAL_PROPOSALS.csv,squad,n.,semantic-pedagogical,medium,Codex seed-20260914 blinded acceptance challenge,The claim that a squad usually has ten members is over-specific and false across ordinary military and nonmilitary senses.,"Narrow-token case: the claim that a squad 'usually' has ten members is over-specific and not true across military (varies ~8-13) or nonmilitary (sports/work 'squad') senses, so the false numeric qualifier was dropped, leaving the accurate general clause intact. REVIEWER NOTE: the ua gloss 'загін' carries a mainly military/paramilitary connotation in Ukrainian and may read oddly for nonmilitary senses of 'squad' (e.g. a sports squad); this was not part of the recorded defect and is left for separate review.",загін,"Група людей, організована для якоїсь спільної мети, зазвичай із десяти членів.",,,,"Група людей, організована для якоїсь спільної мети.",definitionUa,definitionUa,a4d3da4e1eb67aee801acc756b16afc8c4860811b531d48db842f93774b7f7a1,,high,зазвичай із десяти членів
SB-1118,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK2.csv,stark,adj.,ua-definition-consistency,high,R2 A/B reconciliation (union-defect roster),Простий на вигляд,,разючий; суворий,"Простий на вигляд; безплідний, безлюдний.",both,ua: разючий; суворий; голий | definitionUa: Дуже виразний або різкий; також суворий і позбавлений прикрас.,разючий; суворий; голий,Дуже виразний або різкий; також суворий і позбавлений прикрас.,ua|definitionUa,ua|definitionUa,79f0377c113f22ac88b36af17670054ddb9cc44ba27dcb765af6ab8e480b71f0,ua «разючий; суворий» (striking/severe) is not reconciled with the definition «Простий на вигляд; безплідний» (plain/barren) — ua↔definition inconsistency confirmed.,high,
SB-1119,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK1.csv,statistical,adj.,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),Статистики або пов’язані зі статистикою,,статистичний,Статистики або пов’язані зі статистикою.,definitionUa,Пов’язаний зі статистикою або заснований на статистичних даних.,,Пов’язаний зі статистикою або заснований на статистичних даних.,definitionUa,definitionUa,be3c60727913923f9b23444c259bccb9afb2767cdf2d66acd4b5a13627a4ad9f,«Статистики або пов’язані» combines a noun with a plural adjective and does not define the singular adjective — confirmed.,high,
SB-1129,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK3.csv,strategic,adj.,calque-russianism,high,R2 A/B reconciliation (union-defect roster),Відносно стратегії.,,стратегічний,Відносно стратегії.,definitionUa,Пов’язаний зі стратегією або важливий для досягнення довгострокової мети.,,Пов’язаний зі стратегією або важливий для досягнення довгострокової мети.,definitionUa,definitionUa,ad01c1d974ea933a5b58389c252331ff7ed526c3c53372ef0cbb8b527f71057a,«Відносно стратегії» is a Russian-influenced calque and not a complete adjective definition — confirmed.,high,
SB-1141,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK1.csv,substantial,adj.,grammar-syntax,high,R2 A/B reconciliation (union-defect roster),Великі за розміром,,істотний,"Великі за розміром, кількістю або вартістю; достатній; значний.",definitionUa,"Значний за розміром, кількістю, вартістю або важливістю.",,"Значний за розміром, кількістю, вартістю або важливістю.",definitionUa,definitionUa,960a686a30862849061b77fe9c5c2131707ebdcd642339ff6850882603819842,"«Великі» is plural where the singular adjective істотний is defined — an agreement error in learner-facing metalanguage, confirmed.",high,
SB-1149,A,part1-floor,docs/G4A_R2_SUPPLEMENTAL_PROPOSALS.csv,successor,n.,russianism-calque,high,Codex seed-20260914 blinded acceptance challenge,"'слідує за' and 'у займанні посади' are calqued, non-idiomatic constructions for succeeding someone in office.","Narrow-token/phrase case: 'слідує за... у займанні посади' is a clunky bureaucratic calque of 'follows... in occupying a position'. Replaced with the idiomatic nominal construction 'безпосередньо змінює іншу на посаді чи титулі' ('directly succeeds/replaces another in a position or title'), matching the noun-definition convention. Opening 'Особа або річ, яка' preserved verbatim.",наступник,"Особа або річ, яка безпосередньо слідує за іншою у займанні посади чи титулу.",,,,"Особа або річ, яка безпосередньо змінює іншу на посаді чи титулі.",definitionUa,definitionUa,89c107b9cba8171c321e5c90e06087c7041b69a6f103e241d5ecc324fc150587,,high,слідує за іншою у займанні посади чи титулу
SB-1166,A,r2-reconciliation,docs/G4A_R2_RECON_CHUNK1.csv,surgical,adj.,calque-russianism,high,R2 A/B reconciliation (union-defect roster),"Відносно, використовується",,хірургічний,"Відносно, використовується під час хірургічного втручання або є результатом операції.",definitionUa,"Пов’язаний із хірургією, використовуваний під час операції або спричинений нею.",,"Пов’язаний із хірургією, використовуваний під час операції або спричинений нею.",definitionUa,definitionUa,2e610ebb7031b3d559d3361eafe0c9fe77bc7236631140a43e8d3a6303d56d13,"«Відносно,» is a Russian-influenced opener and the following verbs disagree with the adjective — confirmed.",high,
SB-1168,A,part1-floor,docs/G4A_R2_SUPPLEMENTAL_PROPOSALS.csv,surrender,v.,grammar-semantic,medium,Codex seed-20260914 blinded acceptance challenge,'особливо в полоні; подати або поступитися' is malformed and adds verbs that do not express surrender.,"Narrow-token/phrase case: 'особливо в полоні' (manner clause 'especially in captivity') was ungrammatical as attached; recast as 'особливо потрапляючи в полон' ('especially by falling into captivity'). 'подати' does not mean 'to submit/give way' in Ukrainian (its primary sense is 'to hand in/serve a document'); corrected to 'піддатися'. Opening clause 'Віддатися у владу іншого' preserved verbatim. REVIEWER NOTE: 'Віддатися' is perfective, while this bank's stated convention is imperfective verbal predicates for verb definitions (cf. accepted ua gloss 'здатися', also perfective); this aspect mismatch predates and is separate from the recorded defect, so it was left unchanged and flagged for separate review.",здатися,"Віддатися у владу іншого, особливо в полоні; подати або поступитися.",,,,"Віддатися у владу іншого, особливо потрапляючи в полон; піддатися або поступитися.",definitionUa,definitionUa,85cbeae1c7c11ac32f9e4b4b532cc8d5546bed8bb84da74353a9485b4612d683,,high,особливо в полоні; подати або поступитися
SB-1171,A,part1-floor,docs/G4A_R2_SUPPLEMENTAL_PROPOSALS.csv,suspicion,n.,grammar-syntax,medium,Codex seed-20260914 blinded acceptance challenge,'Дія підозрювати' and 'в чомусь недобре' are ungrammatical; the noun requires an idiomatic nominal definition.,"Revised on review: pass-1 accidentally reordered the frozen 'щось або когось' to 'когось або чогось' and changed 'в' to 'у', neither of which was part of the recorded defect ('Дія підозрювати' and 'в чомусь недобре'). Restored the frozen order and kept 'в' (Ukrainian euphony prefers 'в' after a vowel, and 'особливо' ends in -о). Separately, nominalising the verb to 'Підозрювання' changes the government of its complement: a deverbal noun cannot take an accusative object, so the inanimate 'щось' (accusative=nominative for inanimates) must become genitive 'чогось'; the animate 'когось' is unchanged because Ukrainian accusative and genitive already coincide for animates, so 'когось' is correct in both readings. This case change is made explicitly as part of the recorded fix, not a silent addition. 'в чомусь недобре' (adverb where an adjective is required) is still corrected to 'в чомусь поганому'. REVIEWER NOTE: the frozen 'Дія підозрювати' resembles a mangled form of the standard Ukrainian dictionary formula «Дія за значенням підозрювати»; if that formula is house style for deverbal noun entries, it may be the better target than 'Підозрювання'. Flagged for the coordinator/adjudicator to decide; not switched unilaterally.",підозра,"Дія підозрювати щось або когось, особливо в чомусь недобре.",,,,"Підозрювання чогось або когось, особливо в чомусь поганому.",definitionUa,definitionUa,b4858e6fdc93baaf07a75c8319ed400905e2a4077460487914de4c9c57ce421a,,high,Дія підозрювати
