id,word,pos,ua,definitionUa,semantic_fidelity,idiomatic_ukrainian,grammar_morphology_syntax_punctuation_word_order,pos_alignment,learner_register,russianism_surzhyk_calque_risk,ua_definition_consistency,pedagogical_accuracy,ui_formatting_integrity,pass_a_disposition,category,confidence,rationale,proposed_target,proposed_value
SB-1680,automatically,word family,автоматично,Автоматичним способом.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,DEFECT,PASS,P2,pedagogical-definition,medium,«Автоматичним способом» is circular and provides no usable sense.,definitionUa,"Без ручного втручання або свідомого рішення, завдяки заданому процесу."
SB-1683,conformity,word family,відповідність,"Стан відповідності, дотримання набору правил, норми чи стандарту.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1686,currency,word family,валюта,"Гроші чи інші предмети, які використовуються для здійснення операцій.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1688,detected,word family,виявлено,Будучи поміченим.,PASS,PASS,DEFECT,DEFECT,PASS,PASS,DEFECT,PASS,PASS,P2,pos-alignment,medium,ua impersonal «виявлено» and «Будучи поміченим» do not align cleanly with detected.,ua+definitionUa,ua: виявлений | definitionUa: Помічений або встановлений унаслідок перевірки чи спостереження.
SB-1690,displacement,word family,переміщення,Акт витіснення або стан витіснення; постановка з місця.,DEFECT,DEFECT,PASS,PASS,PASS,DEFECT,PASS,DEFECT,PASS,P1,semantic-fidelity,high,«Постановка з місця» is a false and unidiomatic rendering of displacement.,definitionUa,Переміщення з попереднього місця або витіснення; також відстань такого переміщення.
SB-1692,eventually,word family,зрештою,"Зрештою; пізніше, особливо після тривалого часу, серія проблем, боротьби, затримок або невдач.",PASS,PASS,DEFECT,PASS,PASS,PASS,PASS,PASS,PASS,P1,grammar-syntax,high,"Singular nominative «серія» is invalid after «після», which requires genitive.",definitionUa,"Зрештою, особливо після тривалого часу, серії проблем, затримок або невдач."
SB-1697,implicit,word family,неявний,"Пропонується опосередковано, без прямого вираження.",DEFECT,DEFECT,PASS,PASS,PASS,DEFECT,PASS,PASS,PASS,P1,semantic-fidelity,high,«Пропонується опосередковано» falsely translates implied as proposed.,definitionUa,Мається на увазі без прямого висловлення.
SB-1699,inevitably,word family,неминуче,"Таким чином, якого неможливо уникнути або запобігти.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1700,infrastructure,word family,інфраструктура,"Об’єкти, послуги та обладнання, необхідні для функціонування спільноти чи суспільства.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1701,minimised,word family,зведений до мінімуму,"Зменшений до найнижчого можливого рівня, кількості або ступеня.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1705,plus,word family,плюс,Позитивна величина.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1708,random,word family,випадковий,"Виникає без особливої ​​причини; випадковий, непередбачуваний.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1709,reinforced,word family,посилений,Був або містить підкріплення.,PASS,PASS,DEFECT,DEFECT,PASS,PASS,DEFECT,PASS,PASS,P1,tense-alignment,high,«Був або містить» mixes past and present and does not align with reinforced.,definitionUa,"Посилений додатковою опорою, матеріалом або аргументом."
SB-1711,revision,word family,перегляд,"Дія або процес перегляду, редагування та внесення змін.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1712,schedule,word family,графік,"Процедурний план, як правило, але не обов’язково табличного характеру, із зазначенням послідовності операцій і запланованого часу, коли ці операції мають виконуватися.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1713,tension,word family,напруга,"Умова перебування в стані між двома або більше силами, які діють протилежно одна одній.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1714,termination,word family,припинення,Процес припинення або стан припинення.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1715,theme,word family,тема,"Предмет, тепер особливо розмови чи художнього твору; тема.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,DEFECT,PASS,P2,pedagogical-definition,medium,The definition repeats «тема» and gives little distinction.,definitionUa,"Головний предмет розмови, дослідження або художнього твору."
SB-1716,uniform,word family,уніформа,"Відмітний одяг, який служить для ідентифікації членів групи, компанії, ув'язнених тощо.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1717,vehicle,word family,транспортний засіб,"Транспортний засіб: місткий пристрій для перенесення або транспортування речовин, предметів, людей або тварин.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1719,virtually,word family,практично,"Майже, але не зовсім.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1721,visual,word family,візуальний,Пов’язані із зором або впливають на нього.,PASS,PASS,DEFECT,DEFECT,PASS,PASS,PASS,PASS,PASS,P1,number-agreement,high,Plural «Пов’язані ... впливають» does not agree with singular візуальний.,definitionUa,"Пов’язаний із зором або тим, що сприймається очима."
SB-1722,accommodation,word family,проживання,"Проживання в житлі чи подібних житлових приміщеннях, які надаються мандрівникам у готелях або на круїзних суднах, або ув’язненим тощо.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1723,analogous,word family,аналогічний,"Наявність аналога, статус аналога; відповідний чомусь іншому; має певну схожість або схожу пропорцію (часто після «до».)",PASS,PASS,PASS,PASS,PASS,PASS,DEFECT,DEFECT,PASS,P1,pedagogical-accuracy,high,"The usage note says analogous is followed by Ukrainian «до», obscuring the required English pattern analogous to.",definitionUa,Подібний до чогось за певними ознаками або відношеннями; англійською вживається з «to».
SB-1724,anticipated,word family,очікуваний,очікується прибуття; заплановано,PASS,PASS,DEFECT,DEFECT,PASS,PASS,DEFECT,PASS,DEFECT,P1,pos-alignment,high,Lowercase impersonal phrases «очікується ... заплановано» do not align with anticipated.,definitionUa,Очікуваний або передбачений заздалегідь.
SB-1730,concurrent,word family,одночасний,Відбувається одночасно; одночасний.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,DEFECT,PASS,P2,pedagogical-definition,medium,The definition repeats «одночасний» without adding usable information.,definitionUa,"Такий, що відбувається в той самий час, що й інша подія."
SB-1732,controversy,word family,суперечка,Дебати або обговорення протилежних думок; (загалом) сварка.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1733,conversely,word family,навпаки,З іншої точки зору; з іншого боку.,DEFECT,PASS,PASS,PASS,PASS,PASS,PASS,DEFECT,PASS,P1,semantic-fidelity,high,"Conversely means in an opposite or reversed relation, not merely from another viewpoint.",definitionUa,Навпаки; якщо розглянути протилежне співвідношення.
SB-1734,device,word family,пристрій,"Будь-яка частина обладнання, виготовлена ​​для певної мети, особливо механічна чи електрична.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1737,duration,word family,тривалість,Проміжок часу або певний проміжок часу.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,DEFECT,PASS,P2,pedagogical-definition,medium,The definition tautologically repeats «проміжок часу».,definitionUa,"Кількість часу, протягом якого щось триває."
SB-1738,erosion,word family,ерозія,"Результат зносу або ерозії, як льодовик на скелі або море на скелі.",DEFECT,PASS,DEFECT,PASS,PASS,PASS,PASS,DEFECT,PASS,P1,semantic-fidelity,high,"Erosion is a process, not merely its result, and «як льодовик на скелі» is grammatically defective.",definitionUa,"Поступове руйнування й перенесення ґрунту або породи водою, вітром, льодом чи іншими чинниками."
SB-1739,ethical,word family,етичний,"Що стосується загальноприйнятих принципів правильного й неправильного, особливо в певній організації чи професії.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1740,format,word family,формат,Макет публікації чи документа.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1744,mediation,word family,посередництво,"Переговори для вирішення розбіжностей, які проводяться неупередженою стороною.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1746,military,word family,військовий,"Стосовно збройних сил, таких як армія, морська піхота, флот і авіація (часто на відміну від цивільних чи поліцейських сил).",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1749,portion,word family,частина,Виділена сума.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1750,qualitative,word family,якісний,"Описів або відмінностей, заснованих на певній якості, а не на певній кількості.",PASS,PASS,DEFECT,DEFECT,PASS,PASS,PASS,PASS,PASS,P1,grammar-syntax,high,Genitive plural «Описів або відмінностей» has no governing word and does not define the adjective.,definitionUa,"Заснований на якості, властивостях або описі, а не на числовій кількості."
SB-1752,relaxed,word family,розслаблений,Вільний від напруги або тривоги; невимушено; неквапливий.,PASS,PASS,DEFECT,DEFECT,PASS,PASS,PASS,PASS,PASS,P1,grammar-syntax,high,The definition mixes adjective and adverb forms («невимушено; неквапливий»).,definitionUa,Вільний від напруги або тривоги; спокійний і невимушений.
SB-1753,restraints,word family,обмеження,контроль або обережність; резерв,DEFECT,DEFECT,PASS,PASS,PASS,DEFECT,PASS,DEFECT,DEFECT,P1,semantic-fidelity,high,Lowercase «контроль або обережність; резерв» is vague and reserve is a false-friend sense here.,definitionUa,"Засоби або правила, що обмежують свободу дії чи руху; стримувальні заходи."
SB-1755,rigid,word family,жорсткий,"Жорсткий, а не гнучкий.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1757,scenario,word family,сценарій,Схема або модель очікуваної чи передбачуваної послідовності подій.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1758,subordinate,word family,підлеглий,"Поставлений у нижчий клас, ранг або посаду.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1759,supplementary,word family,додатковий,"додатковий; додано, щоб забезпечити те, що потрібно.",PASS,PASS,DEFECT,DEFECT,PASS,PASS,DEFECT,PASS,DEFECT,P1,pos-alignment,high,Lowercase «додано» is impersonal/perfective and does not align with supplementary.,definitionUa,"Додатковий; призначений доповнити те, чого бракує."
SB-1760,suspended,word family,призупинено,Змусив на деякий час зупинитися; переривається або затримується.,PASS,PASS,DEFECT,DEFECT,PASS,PASS,DEFECT,PASS,PASS,P1,tense-alignment,high,"ua is impersonal, while the definition shifts from masculine past to present reflexive.",ua+definitionUa,"ua: призупинений | definitionUa: Тимчасово зупинений, відкладений або усунений від виконання обов’язків."
SB-1761,team,word family,команда,"Будь-яка група людей, які займаються однією діяльністю, особливо спортом або роботою.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1768,conceived,word family,задуманий,сформований у свідомості,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,DEFECT,P2,ui-formatting,medium,The definition starts lowercase and lacks terminal punctuation.,definitionUa,Сформований або створений у свідомості як ідея чи задум.
SB-1769,convinced,word family,переконаний,"У стані віри, особливо на основі доказів, але не обов'язково.",DEFECT,DEFECT,PASS,PASS,PASS,DEFECT,PASS,PASS,PASS,P1,calque-russianism,high,«У стані віри» is a literal calque and does not express being firmly persuaded.,definitionUa,Твердий у певному переконанні або впевнений у його правдивості.
SB-1771,encountered,word family,зіткнувся,"Зустріти (когось) або знайти (щось), особливо несподівано.",PASS,PASS,DEFECT,DEFECT,PASS,PASS,DEFECT,PASS,PASS,P1,tense-alignment,high,ua masculine past «зіткнувся» conflicts with the infinitive definition and does not provide a neutral participle.,ua+definitionUa,"ua: зустрінутий; виявлений | definitionUa: Зустрінутий або знайдений, особливо несподівано."
SB-1772,enormous,word family,величезний,"Надзвичайно великий; значно перевищує звичайний розмір, протяжність тощо.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1774,intrinsic,word family,внутрішній,"Вроджений, властивий, невіддільний від самої речі, істотний.",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,clean-candidate,none,high,"Fresh affirmative Pass-A review found the English sense, POS, Ukrainian pair, register, pedagogy, and UI presentation aligned on every rubric axis.",,
SB-1777,likewise,word family,так само,також; крім того; теж.,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,DEFECT,P2,ui-formatting,medium,The definition starts with a lowercase letter.,definitionUa,Так само; також або подібним чином.
SB-1778,notwithstanding,word family,незважаючи на це,"Тим не менш, все так само.",PASS,DEFECT,PASS,PASS,PASS,PASS,PASS,DEFECT,PASS,P2,idiomatic-ukrainian,medium,«Все так само» is not an idiomatic equivalent of nevertheless in this entry.,definitionUa,Попри це; проте або все ж.
SB-1783,so-called,word family,т. зв,Так названо; зазвичай називають.,PASS,DEFECT,DEFECT,PASS,PASS,PASS,PASS,PASS,DEFECT,P2,ui-formatting,medium,ua abbreviation lacks its final period and the passive definition is awkward.,ua+definitionUa,"ua: т. зв. | definitionUa: Так званий; відомий під певною назвою, іноді сумнівною."
